"","x"
"razon_riesgo_autoridades","Reason risk of eviction?/Has problems with the authorities"
"razon_riesgo_no_pago","Reason risk of eviction?/Has no ability to pay"
"razon_riesgo_other","Reason risk of eviction?/Other"
"razon_riesgo_otros_barrio","Reason risk of eviction?/Has problems with other residents of the neighborhood"
"razon_riesgo_otros_habitantes","Reason risk of eviction?/You have problems with other inhabitants of the home"
"razon_riesgo_propietarioa","Reason risk of eviction?/Has landlord issues"
"razon_riesgo_vencio_plazo","Reason risk of eviction?/The term you have to stay in the home has expired"
"measure_acuerdoarren","Measures to deal with housing?/Establishment of agreements with the lessor"
"measure_asistlegal","Measures to deal with housing?/Seek legal assistance"
"measure_extension","Measures to deal with housing?/Request extension of payment to the lessor"
"measure_mudarhost","Measures to deal with housing?/Moving to the home of a family member, friend"
"measure_mudartemp","Measures to deal with housing?/Moving to temporary accommodation or shelter."
"measure_nonem","Measures to deal with housing?/None of the above"
"measure_otherm","Measures to deal with housing?/Other, indicate which one?"
"measure_prestamo","Measures to deal with housing?/Loan application"
"measure_regresopai","Measures to deal with housing?/Return to home country"
"protarrendatario","Do you know about the protection measures for tenants currently in force?"
"probconvivencia_cargadomes","Coexistence problems faced?/Higher household load"
"probconvivencia_conflictos","Coexistence problems faced?/Conflicts or disputes with neighbors, other tenants"
"probconvivencia_ninosdif","Coexistence problems faced?/Living with children is difficult"
"probconvivencia_noseguro","Coexistence problems faced?/I don't feel safe with the person (s) I live with"
"probconvivencia_parejadif","Coexistence problems faced?/Living with my partner is difficult"
"probconvivencia_sinProblema","Coexistence problems faced?/No problems"
"probconvivencia_soledad","Coexistence problems faced?/Loneliness"
"ViolenciaAumenta","Do you think domestic violence cases has changed due to pandemic restrictions?"
"RazonViolenciaAumenta_aislamien","Why more domestic violence?/Quarantine restriction of mobility"
"RazonViolenciaAumenta_dependen","Why more domestic violence?/Economic dependency of the perpetrator"
"RazonViolenciaAumenta_economi","Why more domestic violence?/Impact of pandemic on household economy"
"RazonViolenciaAumenta_estres","Why more domestic violence?/Increased stress, other impacts on mental health"
"RazonViolenciaAumenta_justicia","Why more domestic violence?/No access judicial system due mobility restriction"
"RazonViolenciaAumenta_otroViol","Why more domestic violence?/Other"
"RazonViolenciaAumenta_serviciGBV","Why more domestic violence?/Lack awareness services for gender-based violence"
"income4basicneeds_actividadeco","Before restrictions 3 main sources of income/Earnings from an economic activity"
"income4basicneeds_ahorro","Before restrictions 3 main sources of income/Savings"
"income4basicneeds_apoyocomm","Before restrictions 3 main sources of income/Assistance from community, friends"
"income4basicneeds_apoyohuman","Before restrictions 3 main sources of income/Humanitarian assistance"
"income4basicneeds_nosource","Before restrictions 3 main sources of income/I did not have a source of income"
"income4basicneeds_othersource","Before restrictions 3 main sources of income/Other"
"income4basicneeds_remesas","Before restrictions 3 main sources of income/Remittances"
"income4basicneeds_venderbienes","Before restrictions 3 main sources of income/Selling personal belongings"
"workchanged","Has work situation changed for restrictions due to COVID-19 pandemic?"
"workchangedhow_aumentoHoras","How has your work situation changed?/More hours to work"
"workchangedhow_aumentoTrabajo","How has your work situation changed?/More occasional jobs"
"workchangedhow_dismiHoras","How has your work situation changed?/Work less hours"
"workchangedhow_dismiTrabajo","How has your work situation changed?/Less work"
"workchangedhow_negocio","How has your work situation changed?/Reactivated business activity"
"workchangedhow_nuevoNegocio","How has your work situation changed?/New business activity"
"workchangedhow_otroLaboral","How has your work situation changed?/Other"
"kidscanschool","During the restricctions, have children been able to continue their studies?"
"kidscannotschool_noMatCupo","Why kids didn't start school year?/Not enrolled due to lack enrollment space"
"kidscannotschool_noMatRec","Why kids didn't start school year?/Not enrolled due to lack resources"
"kidscannotschool_otroEduc","Why kids didn't start school year?/Other"
"kidscannotschool_sinRecuros","Why kids didn't start school year?/Enrolled but lack resources at home"
"kidscanschoolhow_downloadplat","Remote education modalities used/Virtual platforms for downloading materials"
"kidscanschoolhow_interactplat","Remote education modalities used/Virtual platformas with instructors"
"kidscanschoolhow_materialsdeliv","Remote education modalities used/Printed materials delivered to the home"
"kidscanschoolhow_materialswhats","Remote education modalities used/Materials shared through WhatsApp"
"kidscanschoolhow_othereduc","Remote education modalities used/Other"
"kidscanschoolhow_radioortv","Remote education modalities used/TV or radio lessons"
"internetaccess","What is the main way your family has access to internet?"
"ICmedicalAttention","Medical services needed during pandemic"
"medicowhat_atenpsicosoc","Medical care needed during pandemic/Psychosocial / psychiatric care"
"medicowhat_enfercronicas","Medical care needed during pandemic/Treatment for chronic diseases"
"medicowhat_otronoC19","Medical care needed during pandemic/Other care, not related to COVID-19"
"medicowhat_prenatalpediatrico","Medical care needed during pandemic/Prenatal or pediatric control"
"medicowhat_pruebaC19","Medical care needed during pandemic/COVID-19 test"
"medicowhat_tratamientoC19","Medical care needed during pandemic/Treatment for COVID-19"
"RecibioAsistMed","Has the person received the needed medical assistance?"
"RazonFaltaAsistMed_atencionNegad","Reasons lack access health care?/The person was denied care"
"RazonFaltaAsistMed_atencionSusp","Reasons lack access health care?/Service needed not available"
"RazonFaltaAsistMed_FaltaIF","Reasons lack access health care?/Lack required documentation or identification"
"RazonFaltaAsistMed_FaltaInfo","Reasons lack access health care?/Lack info, does not know how access assistance"
"RazonFaltaAsistMed_faltaRecursos","Reasons lack access health care?/Lack resources, could not cover costs"
"RazonFaltaAsistMed_FaltaSegMed","Reasons lack access health care?/Lack of health insurance"
"RazonFaltaAsistMed_lejania","Reasons lack access health care?/Distance"
"RazonFaltaAsistMed_MiedoArresto","Reasons lack access health care?/Fear arrest"
"RazonFaltaAsistMed_otroAtMed","Reasons lack access health care?/Other"
"Weight","Weight"
"ID","ID"
